"Customer","Type","Type (Online - Virtual or Physical)","Channel Category","Country Code","Nation Name","Region Name","State/Province Name","City Name","District Name","Location Name","Postal Code","Address","Group","Region Site Group Name","REP Flag","Latitude","Longitude","Initially Admitted","Updated Dttm"
"101 notebook","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Southern","Almaty","Almaty","","Almaty(KZ001001002)","","Mynbayeva/Klochkova","CXX3YR008YR6","","","","","2011/01/13 16:44:22","2021/06/04 13:38:44"
"Abay-2-DPD-Atruim","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Southern","Almaty","Almaty","","Almaty(KZ001001002)","","г.Абай ул.Абая 21В ТД Атриум","CXX3YR00800","","Y","","","2019/03/19 18:40:23","2024/05/03 20:02:52"
"Abay-tesla-Pobedy","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Central","Karagandinskaya","Karaganda","","Karaganda(KZ004006005)","","Karaganda, Karagandinskaya, KAZAKHSTAN","CXXYR90YRFK00","","Y","","","2020/09/23 17:52:27","2022/04/27 18:46:35"
"Abay-tesla-Pobedy","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","","","","","KAZAKHSTAN(KZ)","","KAZAKHSTAN","CXXYR90YRFK00","","Y","51.148678","71.47001","2024/01/18 00:43:08","2024/01/22 03:07:17"
"ABC","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Southern","Yuzhno-Kazakhstanskaya","Shymkent","","Shymkent(KZ001004007)","","yl. Momysh-Yli yg. Ilyaeva","CXX3YR008YR6","","","","","2011/01/13 16:44:25","2021/06/04 13:38:44"
"A-Center","DC","PHYSICAL","GENERAL DISTY","KZ","KAZAKHSTAN","Southern","Almaty","Almaty","","Almaty(KZ001001002)","","","CXX3YR008YR6","","","","","2011/01/13 17:44:17","2021/06/04 13:38:44"
"A-CENTER TECHNOLOGIES","DC","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Southern","Almaty","Almaty","","Almaty(KZ001001002)","","Satpayev  47,  37#","CXX3YR0080FK","","Y","","","2014/03/05 16:23:15",""
"Adilbek","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Southern","Kyzylordinskaya","Kyzylorda","","Kyzylorda(KZ001010037)","","Korkyt Ata, 59","CXX3YR008YR6","","","","","2011/01/13 16:44:24","2021/06/04 13:38:44"
"Ai-na Bazar #46","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Southern","Yuzhno-Kazakhstanskaya","Shymkent","","Shymkent(KZ001004007)","","46 Bytik","CXX3YR008YR6","","","","","2011/01/13 16:44:25","2021/06/04 13:38:44"
"Ai-na Bazar, 49 Bytik","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Southern","Yuzhno-Kazakhstanskaya","Shymkent","","Shymkent(KZ001004007)","","49 Bytik","CXX3YR008YR6","","","","","2011/01/13 16:44:25","2021/06/04 13:38:44"
"Ai-na Bazar, 50 Bytik","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Southern","Yuzhno-Kazakhstanskaya","Shymkent","","Shymkent(KZ001004007)","","50 Bytik","CXX3YR008YR6","","","","","2011/01/13 16:44:25","2021/06/04 13:38:44"
"Ai-na Bazar, 58 Bytik","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Southern","Yuzhno-Kazakhstanskaya","Shymkent","","Shymkent(KZ001004007)","","58 Bytik","CXX3YR008YR6","","","","","2011/01/13 16:44:25","2021/06/04 13:38:44"
"aircourier DC","DC","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","","","","","KAZAKHSTAN(KZ)","","KAZAKHSTAN","G069FK69740","","Y","","","2022/04/15 17:36:29",""
"aircourier RETAIL","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","","","","","KAZAKHSTAN(KZ)","","KAZAKHSTAN","G069FK69740","","Y","","","2022/04/15 17:46:07","2022/07/18 03:07:40"
